partition,gap,total_resources,imbalance,drones,batteries,relay_drones,relay_modules
"{B01,B03,B04,B05,B07,B10,B11,B12}|{B02,B06,B09}|{B08}",8,37,1.0,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 6, ""A"": 6}",4,5
"{B01,B03,B04,B05,B07,B11,B12}|{B02,B06,B09,B10}|{B08}",8,37,1.0,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 6, ""A"": 6}",4,5
"{B01,B03,B04,B05,B09,B10,B12}|{B02,B06,B07,B11}|{B08}",8,37,1.0,"{""C"": 3, ""B"": 5, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",4,5
"{B01,B03,B04,B05,B09,B11,B12}|{B02,B06,B07,B10}|{B08}",8,37,1.0,"{""C"": 3, ""B"": 5, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",4,5
"{B01,B03,B04,B05,B09,B12}|{B02,B06,B07,B10,B11}|{B08}",8,37,1.0,"{""C"": 3, ""A"": 4, ""B"": 5}","{""C"": 5, ""A"": 6, ""B"": 5}",4,5
"{B01,B03,B04,B05,B08,B09,B10,B11,B12}|{B02,B06}|{B07}",8,37,1.0,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 6, ""A"": 6}",4,5
"{B01,B03,B04,B05,B09,B10,B11,B12}|{B02,B06,B08}|{B07}",8,37,1.0,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 6, ""A"": 6}",4,5
"{B01,B03,B04,B05,B09,B10,B11,B12}|{B02,B06}|{B07,B08}",8,37,1.0,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 6, ""A"": 6}",4,5
"{B01,B03,B04,B05,B07,B09,B10,B11,B12}|{B02}|{B06,B08}",8,37,1.0,"{""C"": 4, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",4,5
"{B01,B03,B05,B06,B07,B08,B09,B10,B12}|{B02,B04}|{B11}",8,37,1.0,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,5
"{B01,B03,B05,B06,B07,B08,B10,B11,B12}|{B02,B04}|{B09}",8,37,1.0,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,5
